X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,City,State,addrtype,addrlocat
-78.906940815247,35.8137262276647,515 Portstewart Drive,Cary Park,2056,2016,4,4,1,Attached,"$262,075","$254,075",0-.25 Acres,9,0,0.98,$0.00,Yes,0,0,171,171,NA,Cary,NC,place
-78.9060242,35.8129161,113 Ballyliffen Lane,Cary Park,2060,2016,4,4,1,Attached,"$254,575","$254,575",0-.25 Acres,9,0,1.464,$0.00,Yes,0,0,0,0,NA,Cary,NC,highway
-78.7970403317713,35.7992952333644,3002 Portrait Drive,Northwoods Crossing,2064,2006,3,2,1,Attached,"$244,900","$256,000",0-.25 Acres,8,0,0.98,"$211,428.00",No,1,2,1,1,NA,Cary,NC,place
-78.7995010025951,35.788264867894,313 Howland Avenue,Oakwood Heights,2091,1974,4,2,1,Detached,"$259,900","$256,000",.26-.5 Acres,8,0,0.9505,"$212,019.00",No,2,0,5,5,NA,Cary,NC,place
-78.9060242,35.8129161,109 Ballyliffen Lane,Cary Park,2060,2016,4,4,1,Attached,"$254,135","$256,855",0-.25 Acres,9,0,1.464,$0.00,Yes,0,0,0,0,NA,Cary,NC,highway
-78.8032102556413,35.7654578322698,1003 Brookgreen Drive,Scottish Hills,2024,1972,4,2,1,Detached,"$256,900","$256,900",.26-.5 Acres,9,0,0.928,"$197,148.00",No,1,0,54,54,NA,Cary,NC,place
-78.792015,35.815772,101 Colora Court,Springbrooke,1723,1992,3,2,1,Detached,"$260,000","$257,000",0-.25 Acres,7,0,0.9505,"$230,142.00",No,1,1,27,27,NA,Cary,NC,place
-78.858298889569,35.7740036,109 Martins Point Place,Park Village,1948,1995,4,2,1,Detached,"$257,000","$257,000",0-.25 Acres,7,0,0.9505,"$243,233.00",No,1,1,2,2,NA,Cary,NC,building
-78.9063629,35.8135785,309 Rosapenna Lane,Cary Park,2057,2016,4,4,1,Attached,"$257,135","$257,135",0-.25 Acres,9,0,1.484,$0.00,Yes,0,0,0,0,NA,Cary,NC,highway
-78.9069266326462,35.813695355042,519 Portstewart Drive,Cary Park,2063,2016,4,4,1,Attached,"$265,230","$257,230",0-.25 Acres,9,0,0.098,"$276,246.00",Yes,0,0,144,144,NA,Cary,NC,place
