X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,city,state,addrtype,addrlocat
-78.8242533547908,35.7364546466955,1033 W Sterlington Place,Sterling at Buckingham,2648,1991,4,3,1,Detached,"$375,000","$375,000",.26-.5 Acres,9,336,0.9805,"$342,951.00",No,1,2,3,3,1,NA,Apex,NC,place
-78.8728143526563,35.731278328514,705 TOWN SIDE Drive,Cameron Park,2718,2001,4,2,1,Detached,"$379,900","$376,500",.26-.5 Acres,10,0,0.981,"$339,292.00",No,1,2,21,21,0.99,NA,Apex,NC,place
-78.8688956759134,35.7309155531712,1029 Torrence Drive,Amherst,3560,2003,5,3,0,Detached,"$385,000","$377,000",.26-.5 Acres,11,0,1.004,"$331,659.00",No,1,2,46,46,0.98,NA,Apex,NC,place
-78.8622739695015,35.7439540168806,908 Haddon Hall Drive,Haddon Hall,2553,1997,4,2,1,Detached,"$369,000","$379,000",.26-.5 Acres,10,428,0.968,"$341,605.00",No,1,2,3,3,1.03,NA,Apex,NC,place
-78.8698447754523,35.7250809764747,1306 Whiston Drive,Whitehall Manor,2560,2003,4,3,1,Detached,"$390,000","$380,000",.26-.5 Acres,10,177,0.9805,"$336,503.00",No,1,2,39,39,0.97,NA,Apex,NC,place
-78.8326931738165,35.7288297557028,39 Old Grove Lane,The Groves,2755,2008,4,3,0,Attached,"$390,000","$380,000",0-.25 Acres,10,0,0.9805,"$356,644.00",No,1,2,111,111,0.97,NA,Apex,NC,place
-78.882606,35.75225,1612 Squaw Walden Lane,Walden Creek,2792,1998,4,2,1,Detached,"$389,000","$380,000",.26-.5 Acres,9,0,0.99,"$356,910.00",No,1,2,19,19,0.98,NA,Apex,NC,place
-78.8757636880502,35.7343323786252,1212 Tartarian Trail,Dogwood Ridge,2727,1999,4,2,1,Detached,"$375,000","$384,000",.26-.5 Acres,9,0,0.98,"$313,771.00",No,1,2,3,3,1.02,NA,Apex,NC,place
-78.8614201,35.765803,207 Hasbrouck Drive,Montclair,2694,1999,4,2,1,Detached,"$385,000","$385,000",0-.25 Acres,9,0,0.9805,"$334,366.00",No,1,2,2,2,1,NA,Apex,NC,building
-78.863605,35.7622608,2426 Castleburg Drive,Charleston Village,2896,2001,4,2,1,Detached,"$379,900","$385,000",.26-.5 Acres,9,0,0.99,"$344,738.00",No,1,2,2,2,1.01,NA,Apex,NC,building
